"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"164","Ángel Zaldívar Caviedes","Mexicano","78.5 kg","1.78","27 Años, 3 Mes(es), 11 Día(s)","285","12","1","1","0",NA,"0"
"165","Ronaldo Cisneros Morell","Mexicano","74 kg","1.8","24 Años, 4 Mes(es), 11 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"166","Oribe Peralta Morones","Mexicano","71.7 kg","1.78","37 Años, 4 Mes(es), 7 Día(s)","83","3","1",NA,"0",NA,"0"
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Guillermo Pozos Guevara","Mexicano","72 kg","1.78","28 Años, 10 Mes(es), 12 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"177","Alfonso Blanco Antúnez","Mexicano","72 kg","1.78","33 Años, 9 Mes(es), 19 Día(s)","360","4","4",NA,"0",NA,"0"
"178","Rodolfo Cota Robles","Mexicano","85.8 kg","1.83","33 Años, 10 Mes(es), 16 Día(s)","1170","13","13",NA,"0","1","0"
"179","Gil Giovanni Burón Morales","Mexicano","67 kg","1.68","26 Años, 11 Mes(es), 8 Día(s)","247","5","3",NA,"0","1","0"
"180","Andrés Felipe Mosquera Guardia","Colombiano","72 kg","1.78","31 Años, 2 Mes(es), 30 Día(s)","954","15","11",NA,NA,NA,"0"
"181","Fernando Navarro Morán","Mexicano","64.5 kg","1.68","32 Años, 1 Mes(es), 1 Día(s)","685","11","8","1","0","2","0"
"182","William José Tesillo Gutiérrez","Colombiano","62 kg","1.66","31 Años, 3 Mes(es), 17 Día(s)","1144","13","13",NA,"0","6",NA
"183","Jaine Stiven Barreiro Solis","Colombiano","80 kg","1.89","26 Años, 11 Mes(es)","1269","16","14","1","0","4","0"
"184","Osvaldo Rodríguez del Portal","Mexicano","74.5 kg","1.75","24 Años, 8 Mes(es), 9 Día(s)","997","14","11","1","0","1","0"
