"","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Tarjetas amarillas"
"130",-2.99999585445318,-2.91685197698931,-1.60072923048939,-1.59544655628474,-1.65584910348276,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"131",-0.843166441168099,-0.740403737004338,0.665868082104401,-1.03864257996719,-1.30531103132867,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"132",0.019565324145935,-0.740403737004338,-1.60072923048939,-1.44514364243215,-2.00638717563686,-1.74038506119464,5.3135187559881e-17,-5.96150884818177e-17
"133",-1.13074369627278,-0.740403737004338,0.665868082104401,1.3081324613221,1.14845547374999,1.3306197428483,5.3135187559881e-17,2.96346812243199
"134",-0.555589186063421,-0.274021971293272,-1.37406949923001,0.983614806413098,1.14845547374999,1.3306197428483,-0.0938553198040966,-0.993846016669266
"135",-1.51897299066409,-1.36224609128576,-0.694090305451872,-0.454510801130995,0.447379329441801,-0.716716793180327,-1.0532652555793,-5.96150884818177e-17
"136",-0.555589186063421,0.0368992058474386,-0.240770842933114,-1.61594240817373,-2.00638717563686,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"138",1.02608571701231,1.74696568012134,-0.467430574192493,-1.5476229018771,-0.954772959174576,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"139",0.73850846190763,-0.118561382722917,-0.240770842933114,1.28080465880345,1.14845547374999,1.3306197428483,6.62201423062236,-0.993846016669266
"140",-0.69937781361576,0.65874156012886,-1.82738896174877,0.174028656798015,0.797917401595896,0.306951474833986,-0.0938553198040966,-0.993846016669266
"150",1.745028854774,1.28058391441028,-0.0141111116737356,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,-0.993846016669266
"152",-1.13074369627278,-0.118561382722917,-0.920750036711251,-0.87809174017011,-0.954772959174576,-1.39916230518987,5.3135187559881e-17,-0.993846016669266
"153",1.04046457976754,1.12512332583993,-0.240770842933114,-0.761948579465837,-0.954772959174576,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"154",1.31366297211699,-0.274021971293272,0.89252781336378,1.10658991774703,0.797917401595896,0.989396986843529,5.3135187559881e-17,0.325258696364487
"155",-0.915060754944268,-1.51770667985612,0.665868082104401,0.303835718761615,0.096841257287707,0.306951474833986,5.3135187559881e-17,0.325258696364487
"156",-0.0235712641197663,0.65874156012886,0.665868082104401,1.20906917719198,1.14845547374999,1.3306197428483,5.3135187559881e-17,-0.993846016669266
"157",-1.03009165698614,-0.740403737004338,0.665868082104401,-0.960075147726068,-1.30531103132867,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"159",0.580340971600058,0.65874156012886,-1.37406949923001,0.799152139412193,0.447379329441801,0.648174230838757,5.3135187559881e-17,0.325258696364487
"160",-0.426179421266315,-1.05132491414505,0.212548619585643,-1.2231052469681,-0.954772959174576,-1.74038506119464,5.3135187559881e-17,-5.96150884818177e-17
"161",-1.04447051974137,-1.67316726842647,-0.467430574192493,-0.0787535164995217,0.447379329441801,-0.0342712811707849,-0.0938553198040966,-5.96150884818177e-17
"162",-1.18825914729371,-1.05132491414505,0.439208350845022,0.782072262838035,1.14845547374999,0.648174230838757,5.3135187559881e-17,-0.993846016669266
"163",-1.84968683403447,-0.584943148433983,-1.14740976797063,0.542953990799825,0.797917401595896,0.306951474833986,5.3135187559881e-17,-5.96150884818177e-17
"164",-1.66276161821643,-0.895864325574694,-0.920750036711251,-1.05230648122652,0.096841257287707,-1.74038506119464,5.3135187559881e-17,-5.96150884818177e-17
"165",0.450931206802952,1.28058391441028,1.11918754462316,1.2432289303403,1.14845547374999,1.3306197428483,-0.0938553198040966,2.96346812243199
"166",-1.56210957892979,-1.82862785699683,1.11918754462316,-1.31533658046855,-0.954772959174576,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"167",-1.41832095137745,-2.29500962270789,-1.14740976797063,1.15441357215468,1.14845547374999,1.3306197428483,-0.0938553198040966,2.96346812243199
"169",0.494067795068653,-0.740403737004338,-1.14740976797063,0.0544695207789097,0.096841257287707,0.306951474833986,-0.0938553198040966,-0.993846016669266
"170",0.307142579250613,0.0368992058474386,-1.60072923048939,0.443890706669709,0.447379329441801,0.306951474833986,1.82496455174632,-5.96150884818177e-17
"171",0.019565324145935,0.347820382988149,-0.920750036711251,-1.18894549381978,-0.954772959174576,-1.39916230518987,5.3135187559881e-17,-0.993846016669266
"172",-0.311148519224444,0.0368992058474386,2.02582646966067,-1.2777608520054,-1.65584910348276,-1.74038506119464,-1.0532652555793,-0.993846016669266
"184",1.71627112926353,0.814202148699216,1.11918754462316,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,0.325258696364487
"186",-0.986955068720438,-1.51770667985612,-0.467430574192493,-0.734620776947184,-0.954772959174576,-1.0579395491851,5.3135187559881e-17,-5.96150884818177e-17
"187",-1.34642663760129,-1.51770667985612,0.89252781336378,0.642017274929941,0.447379329441801,0.648174230838757,-1.0532652555793,-5.96150884818177e-17
"188",-1.70589820648213,-1.82862785699683,0.665868082104401,1.10658991774703,0.797917401595896,0.989396986843529,-1.0532652555793,-5.96150884818177e-17
"189",1.02608571701231,0.814202148699216,0.89252781336378,-1.01473075276337,-1.30531103132867,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"190",0.73850846190763,0.65874156012886,0.439208350845022,-1.04547453059686,-1.65584910348276,-1.39916230518987,5.3135187559881e-17,-5.96150884818177e-17
"191",0.0914596379221045,-0.429482559863628,-0.920750036711251,-0.7687805300955,-0.604234887020482,-1.39916230518987,5.3135187559881e-17,0.325258696364487
"192",0.882297089459969,1.74696568012134,-0.467430574192493,0.799152139412193,0.447379329441801,0.648174230838757,5.3135187559881e-17,1.64436340939824
"193",1.39993614864839,1.59150509155099,1.79916673840129,-1.17869756787529,-1.65584910348276,-1.39916230518987,5.3135187559881e-17,-0.993846016669266
"194",-0.857545303923332,-1.82862785699683,1.57250700714192,0.778656287523204,0.797917401595896,0.648174230838757,-0.0938553198040966,-5.96150884818177e-17
"195",-0.555589186063421,-0.118561382722917,-0.467430574192493,0.273091940928131,0.096841257287707,0.306951474833986,5.3135187559881e-17,-0.993846016669266
"196",-1.86406569678971,-1.05132491414505,-0.920750036711251,-1.33583243235754,-1.30531103132867,-1.74038506119464,5.3135187559881e-17,-5.96150884818177e-17
"197",-0.411800558511082,-1.51770667985612,1.11918754462316,1.31154843663693,1.14845547374999,1.3306197428483,5.66260429484715,2.96346812243199
